[2021-04-19T16:07:49+0000] [PACMAN] Running 'pacman -Syu --root /tmp/newmsys/msys64'
[2021-04-19T16:07:49+0000] [PACMAN] synchronizing package lists
[2021-04-19T16:07:52+0000] [PACMAN] starting core system upgrade
[2021-04-19T16:07:52+0000] [PACMAN] starting full system upgrade
[2021-04-19T16:07:53+0000] [PACMAN] Running 'pacman -S --noconfirm --root /tmp/newmsys/msys64 base'
[2021-04-19T16:08:18+0000] [ALPM] transaction started
[2021-04-19T16:08:18+0000] [ALPM] installed bash (5.1.004-1)
[2021-04-19T16:08:18+0000] [ALPM] installed bash-completion (2.11-1)
[2021-04-19T16:08:18+0000] [ALPM] installed gcc-libs (10.2.0-1)
[2021-04-19T16:08:18+0000] [ALPM] installed libbz2 (1.0.8-2)
[2021-04-19T16:08:18+0000] [ALPM] installed libintl (0.19.8.1-1)
[2021-04-19T16:08:18+0000] [ALPM] installed libiconv (1.16-2)
[2021-04-19T16:08:18+0000] [ALPM] installed libexpat (2.3.0-1)
[2021-04-19T16:08:18+0000] [ALPM] installed libgettextpo (0.19.8.1-1)
[2021-04-19T16:08:18+0000] [ALPM] installed libasprintf (0.19.8.1-1)
[2021-04-19T16:08:19+0000] [ALPM] installed gettext (0.19.8.1-1)
[2021-04-19T16:08:19+0000] [ALPM] installed liblzma (5.2.5-1)
[2021-04-19T16:08:19+0000] [ALPM] installed liblz4 (1.9.3-1)
[2021-04-19T16:08:19+0000] [ALPM] installed gmp (6.2.1-1)
[2021-04-19T16:08:19+0000] [ALPM] installed libhogweed (3.7.2-1)
[2021-04-19T16:08:19+0000] [ALPM] installed libnettle (3.7.2-1)
[2021-04-19T16:08:19+0000] [ALPM] installed coreutils (8.32-1)
[2021-04-19T16:08:19+0000] [ALPM] installed icu (68.2-1)
[2021-04-19T16:08:19+0000] [ALPM] installed msys2-runtime (3.2.0-3)
[2021-04-19T16:08:24+0000] [ALPM] installed ncurses (6.2-1)
[2021-04-19T16:08:24+0000] [ALPM] installed libreadline (8.1.0-1)
[2021-04-19T16:08:24+0000] [ALPM] installed zlib (1.2.11-1)
[2021-04-19T16:08:24+0000] [ALPM] installed libxml2 (2.9.10-7)
[2021-04-19T16:08:24+0000] [ALPM] installed libzstd (1.4.9-1)
[2021-04-19T16:08:24+0000] [ALPM] installed bsdtar (3.5.1-1)
[2021-04-19T16:08:24+0000] [ALPM] installed bzip2 (1.0.8-2)
[2021-04-19T16:08:24+0000] [ALPM] installed libopenssl (1.1.1.k-1)
[2021-04-19T16:08:24+0000] [ALPM] installed openssl (1.1.1.k-1)
[2021-04-19T16:08:24+0000] [ALPM] installed findutils (4.8.0-1)
[2021-04-19T16:08:24+0000] [ALPM] installed sed (4.8-1)
[2021-04-19T16:08:24+0000] [ALPM] installed libffi (3.3-1)
[2021-04-19T16:08:24+0000] [ALPM] installed libpcre (8.44-1)
[2021-04-19T16:08:24+0000] [ALPM] installed less (563-2)
[2021-04-19T16:08:24+0000] [ALPM] installed gzip (1.10-1)
[2021-04-19T16:08:24+0000] [ALPM] installed libcrypt (2.1-3)
[2021-04-19T16:08:24+0000] [ALPM] installed info (6.7-3)
[2021-04-19T16:08:24+0000] [ALPM] installed libtasn1 (4.16.0-1)
[2021-04-19T16:08:25+0000] [ALPM] installed libgpg-error (1.42-1)
[2021-04-19T16:08:25+0000] [ALPM] installed libgcrypt (1.9.2-1)
[2021-04-19T16:08:25+0000] [ALPM] installed libxslt (1.1.34-3)
[2021-04-19T16:08:25+0000] [ALPM] installed glib2 (2.68.1-1)
[2021-04-19T16:08:25+0000] [ALPM] installed libp11-kit (0.23.22-2)
[2021-04-19T16:08:25+0000] [ALPM] installed p11-kit (0.23.22-2)
[2021-04-19T16:08:25+0000] [ALPM] installed ca-certificates (20190110-1)
[2021-04-19T16:08:26+0000] [ALPM] installed brotli (1.0.9-1)
[2021-04-19T16:08:26+0000] [ALPM] installed libdb (5.3.28-3)
[2021-04-19T16:08:26+0000] [ALPM] installed libedit (20210216_3.1-1)
[2021-04-19T16:08:27+0000] [ALPM] installed tcl (8.6.10-1)
[2021-04-19T16:08:27+0000] [ALPM] installed libsqlite (3.35.4-1)
[2021-04-19T16:08:27+0000] [ALPM] installed heimdal-libs (7.7.0-2)
[2021-04-19T16:08:27+0000] [ALPM] installed libunistring (0.9.10-1)
[2021-04-19T16:08:27+0000] [ALPM] installed libidn2 (2.3.0-1)
[2021-04-19T16:08:27+0000] [ALPM] installed libmetalink (0.1.3-3)
[2021-04-19T16:08:27+0000] [ALPM] installed libnghttp2 (1.43.0-1)
[2021-04-19T16:08:27+0000] [ALPM] installed libpsl (0.21.1-2)
[2021-04-19T16:08:27+0000] [ALPM] installed libssh2 (1.9.0-1)
[2021-04-19T16:08:27+0000] [ALPM] installed libcurl (7.76.1-1)
[2021-04-19T16:08:28+0000] [ALPM] installed curl (7.76.1-1)
[2021-04-19T16:08:28+0000] [ALPM] installed grep (3.0-2)
[2021-04-19T16:08:28+0000] [ALPM] installed filesystem (2021.04-1)
[2021-04-19T16:08:28+0000] [ALPM] installed dash (0.5.11.3-1)
[2021-04-19T16:08:28+0000] [ALPM] installed file (5.40-1)
[2021-04-19T16:08:28+0000] [ALPM] installed mpfr (4.1.0-1)
[2021-04-19T16:08:29+0000] [ALPM] installed gawk (5.1.0-1)
[2021-04-19T16:08:29+0000] [ALPM] installed libargp (20110921-2)
[2021-04-19T16:08:29+0000] [ALPM] installed getent (2.18.90-2)
[2021-04-19T16:08:29+0000] [ALPM] installed tftp-hpa (5.2-3)
[2021-04-19T16:08:29+0000] [ALPM] installed inetutils (1.9.4-2)
[2021-04-19T16:08:29+0000] [ALPM] installed mintty (1~3.4.7-2)
[2021-04-19T16:08:29+0000] [ALPM] installed msys2-keyring (1~20210213-1)
[2021-04-19T16:08:29+0000] [ALPM] installed msys2-launcher (1.3-1)
[2021-04-19T16:08:29+0000] [ALPM] installed nano (5.6.1-1)
[2021-04-19T16:08:29+0000] [ALPM] installed libassuan (2.5.5-1)
[2021-04-19T16:08:29+0000] [ALPM] installed libgnutls (3.7.1-1)
[2021-04-19T16:08:30+0000] [ALPM] installed libksba (1.4.0-1)
[2021-04-19T16:08:30+0000] [ALPM] installed libnpth (1.6-1)
[2021-04-19T16:08:30+0000] [ALPM] installed nettle (3.7.2-1)
[2021-04-19T16:08:30+0000] [ALPM] installed pinentry (1.1.1-1)
[2021-04-19T16:08:30+0000] [ALPM] installed gnupg (2.2.27-1)
[2021-04-19T16:08:30+0000] [ALPM] installed pacman-mirrors (20210325-1)
[2021-04-19T16:08:30+0000] [ALPM] installed which (2.21-2)
[2021-04-19T16:08:30+0000] [ALPM] installed xz (5.2.5-1)
[2021-04-19T16:08:30+0000] [ALPM] installed zstd (1.4.9-1)
[2021-04-19T16:08:31+0000] [ALPM] installed pacman (5.2.2-19)
[2021-04-19T16:08:31+0000] [ALPM] installed db (5.3.28-3)
[2021-04-19T16:08:31+0000] [ALPM] installed libgdbm (1.19-1)
[2021-04-19T16:08:31+0000] [ALPM] installed gdbm (1.19-1)
[2021-04-19T16:08:33+0000] [ALPM] installed perl (5.32.1-1)
[2021-04-19T16:08:33+0000] [ALPM] installed pacman-contrib (1.4.0-1)
[2021-04-19T16:08:33+0000] [ALPM] installed rebase (4.4.4-2)
[2021-04-19T16:08:33+0000] [ALPM] installed time (1.9-1)
[2021-04-19T16:08:35+0000] [ALPM] installed tzcode (2021a-1)
[2021-04-19T16:08:35+0000] [ALPM] installed libutil-linux (2.35.2-1)
[2021-04-19T16:08:35+0000] [ALPM] installed util-linux (2.35.2-1)
[2021-04-19T16:08:35+0000] [ALPM] installed libgpgme (1.15.1-1)
[2021-04-19T16:08:35+0000] [ALPM] installed libpcre2_8 (10.36-1)
[2021-04-19T16:08:35+0000] [ALPM] installed wget (1.21.1-2)
[2021-04-19T16:08:35+0000] [ALPM] installed base (2020.12-1)
[2021-04-19T16:08:35+0000] [ALPM] transaction completed
[2021-04-19T16:08:35+0000] [ALPM] running 'texinfo-install.hook'...
[2021-05-21T23:07:11-0700] [PACMAN] Running 'pacman -Su'
[2021-05-21T23:07:11-0700] [PACMAN] starting core system upgrade
[2021-05-21T23:07:11-0700] [PACMAN] starting full system upgrade
[2021-05-21T23:08:07-0700] [PACMAN] Running 'pacman -S mingw-w64-x86_64-gtk2'
[2021-05-21T23:09:38-0700] [ALPM] transaction started
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-gmp (6.2.1-2)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-mpfr (4.1.0-3)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-mpc (1.2.1-1)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-libwinpthread-git (9.0.0.6158.1c773877-1)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-gcc-libs (10.2.0-10)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-hicolor-icon-theme (0.17-2)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-expat (2.2.10-1)
[2021-05-21T23:09:38-0700] [ALPM] installed mingw-w64-x86_64-libiconv (1.16-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-gettext (0.19.8.1-10)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-bzip2 (1.0.8-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-wineditline (2.205-3)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-zlib (1.2.11-9)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-pcre (8.44-3)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-libffi (3.3-4)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-mpdecimal (2.5.0-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-libtre-git (r128.6fb7206-2)
[2021-05-21T23:09:40-0700] [ALPM] installed mingw-w64-x86_64-libsystre (1.0.1-4)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-ncurses (6.2-3)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-libtasn1 (4.16.0-2)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-p11-kit (0.23.22-1)
[2021-05-21T23:09:46-0700] [ALPM] installed mingw-w64-x86_64-ca-certificates (20200601-3)
[2021-05-21T23:09:53-0700] [ALPM] installed mingw-w64-x86_64-openssl (1.1.1.k-2)
[2021-05-21T23:09:53-0700] [ALPM] installed mingw-w64-x86_64-termcap (1.3.1-6)
[2021-05-21T23:09:53-0700] [ALPM] installed mingw-w64-x86_64-readline (8.0.004-2)
